nombre,sexo,url,url_original,foto_local,foto_cdn,foto_credito,partido,periodo,periodo_tiempo,orden_destacado,estado,distrito,fecha_nacimiento,imagen_seo,,,,
Aguado Romero Paulina,1,aguado-romero-paulina,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=347,diputados-federales/LXV-legislatura/aguado-romero-paulina.jpg,https://live.staticflickr.com/65535/52020930811_f2a7c77de4_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/451_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,22,Circ. 2,7/enero/1981,https://live.staticflickr.com/65535/52027803019_96d61003bb_b.jpg,,,,
Aguilar Coronado Marco Humberto,0,aguilar-coronado-marco-humberto,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=218,diputados-federales/LXV-legislatura/aguilar-coronado-marco-humberto.jpg,https://live.staticflickr.com/65535/52021186539_1104aa8317_z.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/037_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,21,Dtto. 10,25/marzo/1963,https://live.staticflickr.com/65535/52026512077_2f956c5be5_b.jpg,,,,
Almaraz Smer Oscar de Jesús,0,almaraz-smer-oscar-de-jesus,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=264,diputados-federales/LXV-legislatura/almaraz-smer-oscar-de-jesus.jpg,https://live.staticflickr.com/65535/52021186554_0f945a7eec_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/450_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,28,Dtto. 5,13/marzo/1968,https://live.staticflickr.com/65535/52027802899_0343945fb4_b.jpg,,,,
Almendariz Puppo Marco Antonio,0,almendariz-puppo-marco-antonio,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=12,diputados-federales/LXV-legislatura/almendariz-puppo-marco-antonio.jpg,https://live.staticflickr.com/65535/52021448895_d830795570_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/460_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,3,Dtto. 1,2/marzo/1977,https://live.staticflickr.com/65535/52027802884_6fb922a625_b.jpg,,,,
Álvarez Hernández Daniela Soraya,1,alvarez-hernandez-daniela-soraya,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=32,diputados-federales/LXV-legislatura/alvarez-hernandez-daniela-soraya.jpg,https://live.staticflickr.com/65535/52020930856_0d2e85e99c_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/415_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,6,Dtto. 4,8/mayo/1983,https://live.staticflickr.com/65535/52028069440_e5b4c623d7_b.jpg,,,,
Aranda Orozco Ana Teresa,1,aranda-orozco-ana-teresa,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=217,diputados-federales/LXV-legislatura/aranda-orozco-ana-teresa.jpg,https://live.staticflickr.com/65535/52021448955_b98ecc03cf_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/431_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,21,Dtto. 9,26/enero/1954,https://live.staticflickr.com/65535/52028069350_346f4cafb8_b.jpg,,,,
Azar Figueroa Anuar Roberto,0,azar-figueroa-anuar-roberto,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=465,diputados-federales/LXV-legislatura/azar-figueroa-anuar-roberto.jpg,https://live.staticflickr.com/65535/52021186629_6ffaa67f31_z.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/040_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,11,Circ. 5,5/agosto/1980,https://live.staticflickr.com/65535/52027802714_4177cc686e_b.jpg,,,,
Azuara Zúñiga Xavier,0,azuara-zuniga-xavier,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=350,diputados-federales/LXV-legislatura/azuara-zuniga-xavier.jpg,https://live.staticflickr.com/65535/52020973208_482deba139_z.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/044_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,24,Circ. 2,16/septiembre/1979,https://live.staticflickr.com/65535/52027592563_0a7aa0ac26_b.jpg,,,,
Báez Guerrero José Luis,0,baez-guerrero-jose-luis,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=342,diputados-federales/LXV-legislatura/baez-guerrero-jose-luis.jpg,https://live.staticflickr.com/65535/52019891122_0ec88a35f5_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/383_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,22,Circ. 2,5/octubre/1980,https://live.staticflickr.com/65535/52026509332_1c4ba64c29_b.jpg,,,,
Balderas Hernández Itzel Josefina,1,balderas-hernandez-itzel-josefina,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=89,diputados-federales/LXV-legislatura/balderas-hernandez-itzel-josefina.jpg,https://live.staticflickr.com/65535/52020930956_d82a488c0b_w.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/381_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,12,Dtto. 15,18/noviembre/1976,https://live.staticflickr.com/65535/52028069300_b5c084ac3c_b.jpg,,,,
Balderas Trejo Ana María,1,balderas-trejo-ana-maria,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=139,diputados-federales/LXV-legislatura/balderas-trejo-ana-maria.jpg,https://live.staticflickr.com/65535/52019891132_c861613379_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/426_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,11,Dtto. 14,26/julio/1968,https://live.staticflickr.com/65535/52027555316_be850043d3_b.jpg,,,,
Beauregard Martínez Carolina,1,beauregard-martinez-carolina,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=219,diputados-federales/LXV-legislatura/beauregard-martinez-carolina.jpg,https://live.staticflickr.com/65535/52020930991_50db8d50c9_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/441_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,21,Dtto. 11,25/octubre/1983,https://live.staticflickr.com/65535/52027589868_8bf3c948ae_b.jpg,,,,
Becerra Moreno Monica,1,becerra-moreno-monica,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=2,diputados-federales/LXV-legislatura/becerra-moreno-monica.jpg,https://live.staticflickr.com/65535/52021449020_db07536508_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/405_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,1,Dtto. 2,22/noviembre/1972,https://live.staticflickr.com/65535/52027555246_9ef8fbaed6_b.jpg,,,,
Bolio Pinelo Kathia Maria,1,bolio-pinelo-kathia-maria,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=384,diputados-federales/LXV-legislatura/bolio-pinelo-kathia-maria.jpg,https://live.staticflickr.com/65535/52021449030_80dbdd5b84_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/492_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,31,Circ. 3,13/diciembre/1977,https://live.staticflickr.com/65535/52027592453_5c8436c224_b.jpg,,,,
Campuzano González Gina Gerardina,1,campuzano-gonzalez-gina-gerardina,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=74,diputados-federales/LXV-legislatura/campuzano-gonzalez-gina-gerardina.jpg,https://live.staticflickr.com/65535/52019891187_d9a855a548_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/411_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,10,Dtto. 4,16/octubre/1965,https://live.staticflickr.com/65535/52027802489_4a1e36d6e6_b.jpg,,,,
Castell de Oro Palacios María Teresa,1,castell-de-oro-palacios-maria-teresa,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=159,diputados-federales/LXV-legislatura/castell-de-oro-palacios-maria-teresa.jpg,https://live.staticflickr.com/65535/52021187514_69feb7856d_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/437_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,11,Dtto. 34,27/abril/1969,https://live.staticflickr.com/65535/52027592323_837a7f7d2f_b.jpg,,,,
Castillo Olivares Héctor Israel,0,castillo-olivares-hector-israel,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=187,diputados-federales/LXV-legislatura/castillo-olivares-hector-israel.jpg,https://live.staticflickr.com/65535/52021187524_8542c1cdc5_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/449_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,19,Dtto. 1,7/mayo/1975,https://live.staticflickr.com/65535/52027802359_f01ff08599_b.jpg,,,,
